,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,March,2564,"$176,410.80","$205,005.49","$28,594.69","$23,193.05","$5,401.64",696,4,,City,SUM of Sales,,Ohio,"$78,258.14",,Phones,"$330,007.05",,"HP Designjet T520 Inkjet Large Format Printer - 24"" Color","$18,374.90"
,,,,,,,,,,,,,,,,,,,,,,,,,,May,2791,"$132,617.50","$155,028.81","$22,411.31","$16,829.53","$5,581.77",735,4,,New York City,"$256,368.16",,Michigan,"$76,269.61",,Chairs,"$328,449.10",,GBC DocuBind P400 Electric Binding System,"$17,965.07"
,,,,,,,,,,,,,,,,,,,,,,,,,,November,5775,"$316,992.64","$352,461.07","$35,468.43","$36,962.85","-$1,494.42",1471,4,,Los Angeles,"$175,851.34",,Virginia,"$70,636.72",,Storage,"$223,843.61",,High Speed Automatic Electric Letter Opener,"$17,030.31"
,,,,,,,,,,,,,,,,,,,,,,,,,,October,3104,"$168,538.94","$200,322.98","$31,784.04","$20,285.38","$11,498.66",819,4,,Seattle,"$119,540.74",,North Carolina,"$55,603.16",,Tables,"$206,965.53",,Lexmark MX611dhe Monochrome Laser Printer,"$16,829.90"
,,,,,,,,,,,,,,,,,,,,,,,,,,September,5062,"$270,792.47","$307,649.95","$36,857.48","$32,962.33","$3,895.15",1383,4,,San Francisco,"$112,669.09",,Indiana,"$53,555.36",,Binders,"$203,412.73",,Martin Yale Chadless Opener Electric Letter Opener,"$16,656.20"
,,,,,,,,,,,,,,,,,,,,,,,,,,Grand Total,37873,"$2,010,803.84","$2,297,200.86","$286,397.02","$243,466.17","$42,930.85",9994,4,,Philadelphia,"$109,077.01",,Georgia,"$49,095.84",,Machines,"$189,238.63",,Ibico EPK-21 Electric Binding System,"$15,875.92"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Houston,"$64,504.76",,Kentucky,"$36,591.75",,Accessories,"$167,380.32",,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish","$15,610.97"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chicago,"$48,539.54",,New Jersey,"$35,764.31",,Copiers,"$149,528.03",,"3D Systems Cube Printer, 2nd Generation, Magenta","$14,299.89"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,San Diego,"$47,521.03",,Arizona,"$35,282.00",,Bookcases,"$114,880.00",,Samsung Galaxy Mega 6.3,"$13,943.67"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jacksonville,"$44,713.18",,Wisconsin,"$32,114.61",,Appliances,"$107,532.16",,Apple iPhone 5,"$12,996.60"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Springfield,"$43,054.34",,Colorado,"$32,108.12",,Furnishings,"$91,705.16",,Bretford Rectangular Conference Table Tops,"$12,995.29"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Detroit,"$42,446.94",,Tennessee,"$30,661.87",,Paper,"$78,479.21",,Global Troy Executive Leather Low-Back Tilter,"$12,975.38"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Columbus,"$38,706.24",,Minnesota,"$29,863.15",,Supplies,"$46,673.54",,Canon PC1060 Personal Laser Copier,"$11,619.83"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Newark,"$28,576.12",,Massachusetts,"$28,634.43",,Art,"$27,118.79",,SAFCO Arco Folding Chair,"$11,572.78"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Columbia,"$25,283.32",,Delaware,"$27,451.07",,Envelopes,"$16,476.40",,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,"$11,304.44"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lafayette,"$25,036.20",,Maryland,"$23,705.52",,Labels,"$12,486.31",,Cubify CubeX 3D Printer Double Head Print,"$11,099.96"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jackson,"$24,963.86",,Rhode Island,"$22,627.96",,Fasteners,"$3,024.28",,DMI Eclipse Executive Suite Bookcases,"$11,046.61"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,San Antonio,"$21,843.53",,Missouri,"$22,205.15",,Grand Total,"$2,297,200.86",,Tennsco 6- and 18-Compartment Lockers,"$10,925.00"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Burlington,"$21,668.08",,Oklahoma,"$19,683.39",,,,,Plantronics CS510 - Over-the-Head monaural Wireless Headset System,"$10,822.36"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arlington,"$20,214.53",,Alabama,"$19,510.64",,,,,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back","$10,637.53"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dallas,"$20,131.93",,Oregon,"$17,431.15",,,,,Logitech P710e Mobile Speakerphone,"$10,196.60"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lakewood,"$18,192.05",,Nevada,"$16,729.10",,,,,Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,"$9,917.64"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Richmond,"$18,137.93",,Connecticut,"$13,384.36",,,,,Tennsco Double-Tier Lockers,"$9,630.86"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Henderson,"$17,549.07",,Arkansas,"$11,678.13",,,,,Bush Advantage Collection Racetrack Conference Table,"$9,544.73"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlanta,"$17,197.84",,Utah,"$11,220.06",,,,,Plantronics Savi W720 Multi-Device Wireless Headset System,"$9,367.29"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Minneapolis,"$16,870.54",,Mississippi,"$10,771.34",,,,,Bady BDG101FRU Card Printer,"$9,279.88"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Providence,"$15,980.65",,Louisiana,"$9,217.03",,,,,Tennsco Single-Tier Lockers,"$9,158.30"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Charlotte,"$13,693.34",,Vermont,"$8,929.37",,,,,GuestStacker Chair with Chrome Finish Legs,"$9,070.94"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Long Beach,"$13,455.03",,South Carolina,"$8,481.71",,,,,Canon Imageclass D680 Copier / Fax,"$8,959.87"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Louisville,"$12,345.81",,Nebraska,"$7,464.93",,,,,Hewlett Packard 610 Color Digital Copier / Printer,"$8,899.82"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Denver,"$12,198.79",,New Hampshire,"$7,292.52",,,,,Wilson Electronics DB Pro Signal Booster,"$8,878.40"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aurora,"$11,656.48",,Montana,"$5,589.35",,,,,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,"$8,774.50"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Milwaukee,"$11,410.22",,New Mexico,"$4,783.52",,,,,Global Deluxe High-Back Manager's Chair,"$8,665.19"
,,,,,,,,,,,,,,,,Order Month,Quantity,Cost,Sales,Profit,Discount Amt,Net Profit,Order ID,Avg. Ship Duration,,,,,,,,,,,,Franklin,"$11,257.04",,Iowa,"$4,579.76",,,,,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,"$8,431.00"
,,,,,,,,,,,,,,,,April,2447,"$126,174.69","$137,762.13","$11,587.44","$13,978.41","-$2,390.97",668,4,,,,,,,,,,,,Phoenix,"$11,000.26",,Idaho,"$4,382.49",,,,,Chromcraft Round Conference Tables,"$8,209.06"
,,,,,,,,,,,,,,,,August,2784,"$137,267.12","$159,044.06","$21,776.94","$20,064.43","$1,712.51",706,4,,,,,,,,,,,,Concord,"$10,542.40",,Kansas,"$2,914.31",,,,,"Hot File 7-Pocket, Floor Stand","$8,138.23"
,,,,,,,,,,,,,,,,December,5419,"$281,924.31","$325,293.50","$43,369.19","$30,893.83","$12,475.36",1408,4,,,,,,,,,,,,Lancaster,"$9,891.46",,District of Columbia,"$2,865.02",,,,,Fellowes PB300 Plastic Comb Binding Machine,"$8,070.19"
,,,,,,,,,,,,,,,,February,1067,"$49,456.64","$59,751.25","$10,294.61","$4,804.62","$5,489.99",300,4,,,,,,,,,,,,North Las Vegas,"$9,801.00",,Wyoming,"$1,603.14",,,,,Cubify CubeX 3D Printer Triple Head Print,"$7,999.98"
,,,,,,,,,,,,,,,,January,1475,"$85,790.39","$94,924.84","$9,134.45","$8,788.19",$346.25,381,4,,,,,,,,,,,,Fairfield,"$9,483.86",,South Dakota,"$1,315.56",,,,,Ibico Ibimaster 300 Manual Binding System,"$7,985.38"
,,,,,,,,,,,,,,,,July,2705,"$133,405.43","$147,238.10","$13,832.66","$17,019.08","-$3,186.42",710,4,,,,,,,,,,,,Indianapolis,"$9,306.42",,Maine,"$1,270.53",,,,,Global Commerce Series High-Back Swivel/Tilt Chairs,"$7,979.44"
,,,,,,,,,,,,,,,,June,2680,"$131,432.88","$152,718.68","$21,285.80","$17,684.47","$3,601.33",717,4,,,,,,,,,,,,Huntsville,"$9,194.99",,West Virginia,"$1,209.82",,,,,Okidata MB760 Printer,"$7,834.40"
,,,,,,,,,,,,,,,,March,2564,"$176,410.80","$205,005.49","$28,594.69","$23,193.05","$5,401.64",696,4,,,,,,,,,,,,Buffalo,"$9,063.50",,North Dakota,$919.91,,,,,Adjustable Depth Letter/Legal Cart,"$7,730.20"
,,,,,,,,,,,,,,,,May,2791,"$132,617.50","$155,028.81","$22,411.31","$16,829.53","$5,581.77",735,4,,,,,,,,,,,,Miami,"$8,673.07",,Grand Total,"$2,297,200.86",,,,,Ativa V4110MDD Micro-Cut Shredder,"$7,699.89"
,,,,,,,,,,,,,,,,November,5775,"$316,992.64","$352,461.07","$35,468.43","$36,962.85","-$1,494.42",1471,4,,,,,,,,,,,,Anaheim,"$7,986.87",,,,,,,,Mitel MiVoice 5330e IP Phone,"$7,699.72"
,,,,,,,,,,,,,,,,October,3104,"$168,538.94","$200,322.98","$31,784.04","$20,285.38","$11,498.66",819,4,,,,,,,,,,,,Rochester,"$7,974.53",,,,,,,,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,"$7,582.37"
,,,,,,,,,,,,,,,,September,5062,"$270,792.47","$307,649.95","$36,857.48","$32,962.33","$3,895.15",1383,4,,,,,,,,,,,,Fresno,"$7,888.53",,,,,,,,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors","$7,539.71"
,,,,,,,,,,,,,,,,Grand Total,37873,"$2,010,803.84","$2,297,200.86","$286,397.02","$243,466.17","$42,930.85",9994,4,,,,,,,,,,,,Yonkers,"$7,657.67",,,,,,,,Tennsco 16-Compartment Lockers with Coat Rack,"$7,515.52"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lawrence,"$7,654.19",,,,,,,,Hon 94000 Series Round Tables,"$7,404.50"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Florence,"$7,621.72",,,,,,,,Logitech diNovo Edge Keyboard,"$7,399.70"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sacramento,"$7,311.28",,,,,,,,Bretford CR4500 Series Slim Rectangular Table,"$7,242.77"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wilmington,"$7,297.06",,,,,,,,Samsung Galaxy S III - 16GB - pebble blue (T-Mobile),"$7,139.80"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tallahassee,"$7,250.67",,,,,,,,Zebra ZM400 Thermal Label Printer,"$6,965.70"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fayetteville,"$6,925.93",,,,,,,,"Bevis Oval Conference Table, Walnut","$6,942.07"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roswell,"$6,652.32",,,,,,,,Hon GuestStacker Chair,"$6,936.10"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fort Worth,"$6,602.71",,,,,,,,Hoover Upright Vacuum With Dirt Cup,"$6,832.91"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oklahoma City,"$6,596.82",,,,,,,,"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units","$6,819.31"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pasadena,"$6,590.15",,,,,,,,GBC DocuBind 300 Electric Binding Machine,"$6,785.14"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Decatur,"$6,544.29",,,,,,,,Bretford CR8500 Series Meeting Room Furniture,"$6,776.56"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cleveland,"$6,346.19",,,,,,,,Cisco Unified IP Phone 7945G VoIP phone,"$6,751.60"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tucson,"$6,313.02",,,,,,,,Hon Every-Day Series Multi-Task Chairs,"$6,748.48"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Omaha,"$6,312.53",,,,,,,,ClearOne CHATAttach 160 - speaker phone,"$6,695.89"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Baltimore,"$6,156.84",,,,,,,,Standard Rollaway File with Lock,"$6,594.95"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,San Jose,"$6,071.23",,,,,,,,Hon Multipurpose Stacking Arm Chairs,"$6,584.64"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nashville,"$6,070.86",,,,,,,,"Dual Level, Single-Width Filing Carts","$6,574.54"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Austin,"$6,057.98",,,,,,,,Balt Solid Wood Round Tables,"$6,518.75"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chesapeake,"$5,996.72",,,,,,,,Hon Pagoda Stacking Chairs,"$6,483.80"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oakland,"$5,964.42",,,,,,,,"Global Leather and Oak Executive Chair, Black","$6,410.87"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Memphis,"$5,942.34",,,,,,,,Sharp AL-1530CS Digital Copier,"$6,399.87"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Virginia Beach,"$5,752.13",,,,,,,,Polycom VVX 310 VoIP phone,"$6,227.65"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Everett,"$5,665.73",,,,,,,,Samsung Galaxy S4,"$6,134.70"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lakeland,"$5,606.89",,,,,,,,Samsung Galaxy S4 Mini,"$6,109.87"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tulsa,"$5,556.97",,,,,,,,Global Comet Stacking Arm Chair,"$6,084.14"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alexandria,"$5,519.57",,,,,,,,Global Ergonomic Managers Chair,"$6,008.54"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clinton,"$5,514.25",,,,,,,,Canon PC1080F Personal Copier,"$5,999.90"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Des Moines,"$5,463.28",,,,,,,,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black","$5,989.20"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobile,"$5,462.99",,,,,,,,Hon 5100 Series Wood Tables,"$5,965.09"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Madison,"$5,346.79",,,,,,,,"Sanyo Counter Height Refrigerator with Crisper, 3.6 Cubic Foot, Stainless Steel/Black","$5,906.52"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Midland,"$5,291.51",,,,,,,,Hon 4070 Series Pagoda Round Back Stacking Chairs,"$5,906.03"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tampa,"$5,196.08",,,,,,,,Global Leather Executive Chair,"$5,861.53"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brentwood,"$5,090.11",,,,,,,,"Office Impressions End Table, 20-1/2""H x 24""W x 20""D","$5,801.82"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Morristown,"$5,033.10",,,,,,,,Zebra GX420t Direct Thermal/Thermal Transfer Printer,"$5,787.36"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fort Lauderdale,"$4,929.53",,,,,,,,Iceberg Mobile Mega Data/Printer Cart,"$5,751.77"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dover,"$4,878.07",,,,,,,,Safco Contoured Stacking Chairs,"$5,697.76"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Round Rock,"$4,854.05",,,,,,,,Canon PC940 Copier,"$5,669.87"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lowell,"$4,837.93",,,,,,,,Bretford “Just In Time” Height-Adjustable Multi-Task Work Tables,"$5,634.90"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jamestown,"$4,708.79",,,,,,,,Logitech Z-906 Speaker sys - home theater - 5.1-CH,"$5,609.83"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Great Falls,"$4,605.58",,,,,,,,Deluxe Rollaway Locking File with Drawer,"$5,572.79"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plainfield,"$4,526.85",,,,,,,,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors","$5,492.89"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Raleigh,"$4,507.54",,,,,,,,"Global High-Back Leather Tilter, Burgundy","$5,436.16"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Troy,"$4,507.09",,,,,,,,Hon Olson Stacker Chairs,"$5,427.99"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Toledo,"$4,466.05",,,,,,,,Ibico Hi-Tech Manual Binding System,"$5,398.32"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Harrisonburg,"$4,388.71",,,,,,,,Wilson SignalBoost 841262 DB PRO Amplifier Kit,"$5,327.26"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oceanside,"$4,350.74",,,,,,,,Hon Olson Stacker Stools,"$5,294.46"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Santa Barbara,"$4,289.23",,,,,,,,GE 30524EE4,"$5,291.73"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lakeville,"$4,260.95",,,,,,,,Hon 2090 “Pillow Soft” Series Mid Back Swivel/Tilt Chairs,"$5,282.42"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gilbert,"$4,172.38",,,,,,,,"Lifetime Advantage Folding Chairs, 4/Carton","$5,212.11"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Portland,"$4,051.87",,,,,,,,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors","$5,184.08"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Watertown,"$4,045.00",,,,,,,,Razer Tiamat Over Ear 7.1 Surround Sound PC Gaming Headset,"$5,119.74"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mesa,"$4,037.74",,,,,,,,"Chromcraft 48"" x 96"" Racetrack Double Pedestal Table","$5,098.18"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cranston,"$4,024.92",,,,,,,,Hoover Shoulder Vac Commercial Portable Vacuum,"$5,009.48"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Knoxville,"$3,928.17",,,,,,,,Panasonic KX-TG9471B,"$4,978.15"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kenosha,"$3,906.73",,,,,,,,Chromcraft Rectangular Conference Tables,"$4,952.67"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parma,"$3,879.76",,,,,,,,Apple iPhone 5S,"$4,901.91"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Westminster,"$3,826.65",,,,,,,,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,"$4,886.46"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bellingham,"$3,790.24",,,,,,,,Brother DCP1000 Digital 3 in 1 Multifunction Machine,"$4,859.84"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Amarillo,"$3,773.06",,,,,,,,Fellowes Staxonsteel Drawer Files,"$4,829.25"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Montgomery,"$3,722.73",,,,,,,,Smead Adjustable Mobile File Trolley with Lockable Top,"$4,778.77"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Colorado Springs,"$3,694.01",,,,,,,,High-Back Leather Manager's Chair,"$4,770.63"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roseville,"$3,588.63",,,,,,,,SAFCO Boltless Steel Shelving,"$4,704.70"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Little Rock,"$3,560.35",,,,,,,,Global Executive Mid-Back Manager's Chair,"$4,626.58"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,El Paso,"$3,546.06",,,,,,,,DMI Arturo Collection Mission-style Design Wood Chair,"$4,619.99"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plano,"$3,530.37",,,,,,,,Polycom CX600 IP Phone VoIP phone,"$4,619.23"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Inglewood,"$3,479.33",,,,,,,,Letter Size Cart,"$4,600.09"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Salem,"$3,444.25",,,,,,,,KI Adjustable-Height Table,"$4,552.64"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marion,"$3,369.35",,,,,,,,"Bevis Round Bullnose 29"" High Table Top","$4,544.93"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Santa Ana,"$3,366.31",,,,,,,,Fellowes Officeware Wire Shelving,"$4,509.47"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Newport News,"$3,321.95",,,,,,,,Samsung Galaxy Note 2,"$4,507.90"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Burbank,"$3,247.16",,,,,,,,"Fellowes Strictly Business Drawer File, Letter/Legal Size","$4,479.03"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Smyrna,"$3,238.89",,,,,,,,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,"$4,476.96"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rockford,"$3,166.23",,,,,,,,"Riverside Furniture Oval Coffee Table, Oval End Table, End Table with Drawer","$4,446.18"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Auburn,"$3,155.17",,,,,,,,Nortel Meridian M3904 Professional Digital phone,"$4,434.91"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Torrance,"$3,132.27",,,,,,,,Global Commerce Series Low-Back Swivel/Tilt Chairs,"$4,420.06"
